거래일자	종목명	거래수량	거래금액	거래세/농특세	정산금액	미수변제	예수금	대출상환금	담보대출상환금	매도담보상환금	신용거래구분(Hide)	세금합계	대출일	매체구분
	거래종류	거래단가	수수료	소득세/주민세	미수발생	연체변제	유가잔고	신용/대출이자	신용이자	매도담보상환이자	적요명(Hide)		상환차금	처리시간
2014-03-03	CJE&M	6	"229,800"				"14,362,432"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"38,300.00"					79				KOSDAQ매수			0:44:47
2014-03-03	CJE&M	2	"76,700"				"14,362,432"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"38,350.00"					81				KOSDAQ매수			0:44:47
2014-03-03	CJE&M	3	"115,200"				"14,362,432"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"38,400.00"					84				KOSDAQ매수			0:44:47
2014-03-03	CJE&M	2	"76,900"				"14,362,432"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"38,450.00"					86				KOSDAQ매수			0:44:47
2014-03-03	CJE&M	2	"77,000"				"14,362,432"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"38,500.00"					88				KOSDAQ매수			0:44:47
2014-03-03	CJE&M	2	"77,100"		"2,672,200"		"11,690,232"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"38,550.00"	400				90				KOSDAQ매수			0:44:47
2014-03-03	엔씨소프트	1	"194,000"				"11,690,232"				보통매매			영웅문S
	보통매매  장내매수	"194,000.00"					1				장내매수			0:44:47
2014-03-03	엔씨소프트	3	"583,500"				"11,690,232"				보통매매			영웅문S
	보통매매  장내매수	"194,500.00"					4				장내매수			0:44:47
2014-03-03	엔씨소프트	1	"196,000"				"11,690,232"				보통매매			영웅문S
	보통매매  장내매수	"196,000.00"					5				장내매수			0:44:47
2014-03-03	엔씨소프트	1	"197,000"				"11,690,232"				보통매매			영웅문S
	보통매매  장내매수	"197,000.00"					6				장내매수			0:44:47
2014-03-03	엔씨소프트	2	"395,000"				"11,690,232"				보통매매			영웅문S
	보통매매  장내매수	"197,500.00"					8				장내매수			0:44:47
2014-03-03	엔씨소프트	1	"198,000"		"1,763,760"		"9,926,472"				보통매매			영웅문S
	보통매매  장내매수	"198,000.00"	260				9				장내매수			0:44:47
2014-03-03			"2,000,000"		"2,000,000"		"11,926,472"							영웅문S
	  이체입금						0				이체입금			9:24:24
2014-03-04	동원개발	5	"99,500"				"11,926,472"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"19,900.00"					5				KOSDAQ매수			0:38:08
2014-03-04	동원개발	5	"99,750"				"11,926,472"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"19,950.00"					10				KOSDAQ매수			0:38:08
2014-03-04	동원개발	3	"60,000"				"11,926,472"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"20,000.00"					13				KOSDAQ매수			0:38:08
2014-03-04	동원개발	6	"120,300"				"11,926,472"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"20,050.00"					19				KOSDAQ매수			0:38:08
2014-03-04	동원개발	4	"80,400"				"11,926,472"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"20,100.00"					23				KOSDAQ매수			0:38:08
2014-03-04	동원개발	7	"141,050"				"11,926,472"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"20,150.00"					30				KOSDAQ매수			0:38:08
2014-03-04	동원개발	4	"80,800"				"11,926,472"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"20,200.00"					34				KOSDAQ매수			0:38:08
2014-03-04	동원개발	1	"20,250"		"702,150"		"11,224,322"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"20,250.00"	100				35				KOSDAQ매수			0:38:08
2014-03-04	쎌바이오텍	20	"540,000"				"11,224,322"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"27,000.00"					"1,170"				KOSDAQ매수			0:38:08
2014-03-04	쎌바이오텍	40	"1,084,000"				"11,224,322"				보통매매			영웅문S
